from,to,cost
0,4,709.1684612394341
4,0,709.1684612394341
0,5,610.2981703300262
5,0,610.2981703300262
0,35,543.007674344547
35,0,543.007674344547
0,39,530.9625361621264
39,0,530.9625361621264
0,68,227.37130151735872
68,0,227.37130151735872
0,78,380.6997760630465
78,0,380.6997760630465
0,176,407.87328289978
176,0,407.87328289978
0,178,481.8717672577853
178,0,481.8717672577853
0,261,521.5942388399329
261,0,521.5942388399329
1,55,878.2095398270992
55,1,878.2095398270992
1,85,297.5717412663649
85,1,297.5717412663649
1,151,777.5525503955496
151,1,777.5525503955496
1,234,640.6558788967404
234,1,640.6558788967404
1,298,1034.2917231299627
298,1,1034.2917231299627
1,315,1120.5464668856341
315,1,1120.5464668856341
1,318,681.4779810107112
318,1,681.4779810107112
1,565,943.6946755463695
565,1,943.6946755463695
2,38,1161.4683066328816
38,2,1161.4683066328816
2,58,708.871819681417
58,2,708.871819681417
2,64,1129.2291107457481
64,2,1129.2291107457481
2,85,1073.0238736616327
85,2,1073.0238736616327
2,161,1176.1074434336797
161,2,1176.1074434336797
2,250,943.5143068913277
250,2,943.5143068913277
2,315,523.5524818593907
315,2,523.5524818593907
2,318,1203.1730115145633
318,2,1203.1730115145633
2,341,533.754988742213
341,2,533.754988742213
3,29,347.97914723379733
29,3,347.97914723379733
3,37,266.7383597995814
37,3,266.7383597995814
3,41,365.3783935197769
41,3,365.3783935197769
3,46,316.3744846748752
46,3,316.3744846748752
3,77,458.74887544628376
77,3,458.74887544628376
3,158,505.72342180045695
158,3,505.72342180045695
3,261,518.5413686161528
261,3,518.5413686161528
3,298,268.01247264343476
298,3,268.01247264343476
3,359,463.66368790254677
359,3,463.66368790254677
3,565,340.4318584642918
565,3,340.4318584642918
3,566,273.6004483776323
566,3,273.6004483776323
4,5,417.04321947938234
5,4,417.04321947938234
4,22,762.2047946726545
22,4,762.2047946726545
4,31,807.0088372747691
31,4,807.0088372747691
4,68,559.5285716581574
68,4,559.5285716581574
4,87,848.7876959175047
87,4,848.7876959175047
4,176,557.9318440645403
176,4,557.9318440645403
4,243,813.3500133649909
